                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.83878,                0.87976,                 1.0135,                0.66478,                0.66664,                0.78016,                0.60366,                 0.7168,                 1.4229,                0.99246,             0.00066422,             0.00066422,             0.00066422
                    138,                0.82384,                0.91018,                  1.009,                 0.7788,                0.81876,                0.84811,                0.66276,                0.70776,                0.79923,                0.97945,             0.00066242,             0.00066242,             0.00066242
                    139,                0.80946,                0.90896,                 1.0014,                0.75161,                0.78336,                0.84135,                0.65605,                0.71446,                0.85328,                0.97633,             0.00066062,             0.00066062,             0.00066062
                    140,                 0.8322,                0.84396,                 1.0113,                0.70377,                0.78652,                0.81954,                0.63877,                0.72879,                0.93627,                0.97478,             0.00065883,             0.00065883,             0.00065883
                    141,                0.80596,                0.90415,                0.99758,                  0.601,                0.73243,                0.74077,                0.58051,                0.70133,                 1.2075,                0.97671,             0.00065703,             0.00065703,             0.00065703
                    142,                0.83618,                0.95101,                 1.0223,                0.78895,                0.79527,                0.86493,                0.68413,                0.70696,                0.75259,                 0.9765,             0.00065523,             0.00065523,             0.00065523
                    143,                0.83471,                0.91004,                 1.0078,                0.74254,                0.79891,                0.82301,                0.64816,                0.72435,                0.74047,                0.98125,             0.00065343,             0.00065343,             0.00065343
                    144,                0.86344,                0.90772,                 1.0143,                0.84381,                0.82735,                0.90479,                 0.7066,                0.70755,                0.72297,                0.97714,             0.00065163,             0.00065163,             0.00065163
                    145,                0.84884,                0.87879,                 1.0283,                0.80276,                0.79232,                0.88115,                0.69001,                0.70671,                0.84469,                0.97998,             0.00064983,             0.00064983,             0.00064983
                    146,                0.82582,                0.85014,                 1.0121,                0.87015,                0.85311,                0.90306,                0.71085,                0.70365,                 0.7422,                0.98012,             0.00064803,             0.00064803,             0.00064803
                    147,                0.80762,                0.82379,                 1.0034,                0.84537,                0.80077,                0.88637,                0.69922,                0.71167,                0.71108,                0.98015,             0.00064623,             0.00064623,             0.00064623
                    148,                0.80844,                0.85349,                 1.0117,                0.84109,                0.85821,                0.92086,                0.72303,                0.69533,                0.66802,                0.97531,             0.00064443,             0.00064443,             0.00064443
                    149,                0.82193,                 0.8707,                 1.0237,                0.89982,                0.84642,                0.92767,                0.72044,                0.73136,                0.68157,                 0.9807,             0.00064263,             0.00064263,             0.00064263
                    150,                0.82868,                0.88715,                 1.0214,                0.72782,                0.55728,                 0.7022,                0.55014,                0.69694,                 1.4564,                0.97701,             0.00064083,             0.00064083,             0.00064083
